Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/KmÂ²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,India Global Rank,City Name,City Population
2020,1380004385,0.99,13586631,-532687,28.4,2.24,464,35,483098640,17.7,7794798739,2,Agra,1430055
2019,1366417754,1.02,13775474,-532687,27.1,2.36,460,34.5,471828295,17.71,7713468100,2,Ahmedabad,3719710
2018,1352642280,1.04,13965495,-532687,27.1,2.36,455,34.1,460779764,17.73,7631091040,2,Aligarh,753207
2017,1338676785,1.07,14159536,-532687,27.1,2.36,450,33.6,449963381,17.74,7547858925,2,Allahabad,1073438
2016,1324517249,1.1,14364846,-532687,27.1,2.36,445,33.2,439391699,17.75,7464022049,2,Amravati,603837
2015,1310152403,1.2,15174247,-470015,26.8,2.4,441,32.7,429069459,17.75,7379797139,2,Amritsar,1092450
2010,1234281170,1.47,17334249,-531169,25.1,2.8,415,30.8,380744554,17.74,6956823603,2,Aurangabad,1016441
2005,1147609927,1.67,18206876,-377797,23.8,3.14,386,29.1,334479406,17.54,6541907027,2,Bareilly,745435
2000,1056575549,1.85,18530592,-136514,22.7,3.48,355,27.6,291350282,17.2,6143493823,2,Bengaluru,5104047
1995,963922588,1.99,18128958,-110590,21.8,3.83,324,26.5,255558824,16.78,5744212979,2,Bhilai,625138
1990,873277798,2.17,17783558,9030,21.1,4.27,294,25.5,222296728,16.39,5327231061,2,Bhiwandi,707035
1985,784360008,2.33,17081433,115942,20.6,4.68,264,24.3,190321782,16.1,4870921740,2,Bhopal,1599914
1980,698952844,2.32,15169989,222247,20.2,4.97,235,23,160941941,15.68,4458003514,2,Bhubaneshwar,762243
1975,623102897,2.33,13582621,421208,19.7,5.41,210,21.3,132533810,15.27,4079480606,2,Borivli,609617
1970,555189792,2.15,11213294,-68569,19.3,5.72,187,19.7,109388950,15,3700437046,2,Chandigarh,960787
1965,499123324,2.07,9715129,-17078,19.6,5.89,168,18.7,93493844,14.95,3339583597,2,Chennai,4328063
1960,450547679,1.91,8133417,-30805,20.2,5.9,152,17.9,80565723,14.85,3034949748,2,Cochin,604696
1955,409880595,1.72,6711079,-21140,20.7,5.9,138,17.6,71958495,14.78,2773019936,2,Coimbatore,959823
2025,1445011620,0.92,13001447,-464081,30,2.24,486,37.6,542742539,17.66,8184437460,2,Delhi,10927986
2030,1503642322,0.8,11726140,-440124,31.7,2.24,506,40.4,607341981,17.59,8548487400,1,Dombivli,1193000
2035,1553723810,0.66,10016298,-415732,33.3,2.24,523,43.5,675456367,17.48,8887524213,1,Faridabad,1220229
2040,1592691513,0.5,7793541,-415736,35,2.24,536,46.7,744380367,17.31,9198847240,1,Ghaziabad,1199191
2045,1620619200,0.35,5585537,-414772,36.6,2.24,545,50.1,811749463,17.09,9481803274,1,Gorakhpur,1324570
2050,1639176033,0.23,3711367,-414776,38.1,2.24,551,53.5,876613025,16.84,9735033990,1,Gorakhpur,674246
,,,,,,,,,,,,,Guwahati,899094
,,,,,,,,,,,,,Gwalior,882458
,,,,,,,,,,,,,Haora,1027672
,,,,,,,,,,,,,Hubli,840214
,,,,,,,,,,,,,Hyderabad,3597816
,,,,,,,,,,,,,Indore,1837041
,,,,,,,,,,,,,Jabalpur,1030168
,,,,,,,,,,,,,Jaipur,2711758
,,,,,,,,,,,,,Jalandhar,785178
,,,,,,,,,,,,,Jamshedpur,616338
,,,,,,,,,,,,,Jodhpur,921476
,,,,,,,,,,,,,Kalyan,1262255
,,,,,,,,,,,,,Kanpur,2823249
,,,,,,,,,,,,,Kolkata,4631392
,,,,,,,,,,,,,Kota,763088
,,,,,,,,,,,,,Lucknow,2472011
,,,,,,,,,,,,,Ludhiana,1545368
,,,,,,,,,,,,,Madurai,909908
,,,,,,,,,,,,,Meerut,1223184
,,,,,,,,,,,,,Moradabad,721139
,,,,,,,,,,,,,Mumbai,12691836
,,,,,,,,,,,,,Mysore,868313
,,,,,,,,,,,,,Nagpur,2228018
,,,,,,,,,,,,,Nashik,1289497
,,,,,,,,,,,,,Navi Mumbai,2600000
,,,,,,,,,,,,,Nowrangapur,1220946
,,,,,,,,,,,,,Patna,1599920
,,,,,,,,,,,,,Pimpri,1284606
,,,,,,,,,,,,,Pune,2935744
,,,,,,,,,,,,,Raipur,679995
,,,,,,,,,,,,,Rajkot,1177362
,,,,,,,,,,,,,Ranchi,846454
,,,,,,,,,,,,,Salem,778396
,,,,,,,,,,,,,Shivaji Nagar,1000000
,,,,,,,,,,,,,Solapur,997281
,,,,,,,,,,,,,Srinagar,975857
,,,,,,,,,,,,,Surat,2894504
,,,,,,,,,,,,,Teni,1034724
,,,,,,,,,,,,,Thane,1261517
,,,,,,,,,,,,,Thiruvananthapuram,784153
,,,,,,,,,,,,,Tiruchirappalli,775484
,,,,,,,,,,,,,Tirunelveli,1435844
,,,,,,,,,,,,,Vadodara,1409476
,,,,,,,,,,,,,Varanasi,1164404
,,,,,,,,,,,,,Vijayawada,874587
,,,,,,,,,,,,,Visakhapatnam,1063178
